2026-08-08T15:13:39.831603900Z [inf]  Starting Container
2026-08-08T15:13:53.103441367Z [err]  [SynthesisAudit] session=a8bad116-2532-4282-840d-6a1819b6d69d action_plan backfill call failed: TypeError: Invalid state: Controller is already closed
2026-08-08T15:13:53.103446377Z [err]      at Object.start (.next/server/app/api/persona/route.js:151:17) {
2026-08-08T15:13:53.103449457Z [err]    code: 'ERR_INVALID_STATE'
2026-08-08T15:13:53.103452707Z [err]  }
2026-08-08T15:13:56.109323872Z [err]  [SynthesisAudit] session=a8bad116-2532-4282-840d-6a1819b6d69d missing mandatory tag(s): tension, action_plan | stop_reason=stop
2026-08-08T15:13:56.109327372Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (150 max tokens) [tiered]
2026-08-08T15:13:56.735219344Z [err]  [SynthesisAudit] session=a8bad116-2532-4282-840d-6a1819b6d69d tension backfilled successfully
2026-08-08T15:13:56.735225864Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (400 max tokens) [tiered]
2026-08-08T15:13:58.676259932Z [err]  [SynthesisAudit] session=a8bad116-2532-4282-840d-6a1819b6d69d action_plan backfilled successfully
2026-08-08T15:14:29.089615185Z [inf]  [StructuralMatch] No user identity on session a8bad116-2532-4282-840d-6a1819b6d69d — skipping past session retrieval
2026-08-08T15:14:58.728067233Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (2000 max tokens) [tiered]
2026-08-08T15:14:58.728071413Z [inf]  [StructuralMatch] Ontology not complete for session 96a26707-049f-42dc-88dd-fce9787ad627 — client should retry
2026-08-08T15:14:58.728076013Z [inf]  [Ontology] Session 96a26707-049f-42dc-88dd-fce9787ad627 | type: allocation | mode: OPEN | rules: none | flags: none | identity: 2 | regret: 3 | upstream: 1
2026-08-08T15:14:58.728079323Z [inf]  [StructuralMatch] No user identity on session 96a26707-049f-42dc-88dd-fce9787ad627 — skipping past session retrieval
2026-08-08T15:15:00.182922113Z [inf]  [StructuralMatch] No user identity on session 96a26707-049f-42dc-88dd-fce9787ad627 — skipping past session retrieval
2026-08-08T15:15:00.186584751Z [inf]  [ExaminerMetric] session=96a26707-049f-42dc-88dd-fce9787ad627 mode=OPEN
2026-08-08T15:15:00.186589531Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (80 max tokens) [tiered]
2026-08-08T15:15:00.186592621Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (80 max tokens) [tiered]
2026-08-08T15:15:01.369728738Z [inf]  [Examiner GET] SB-2 v2.0 | session 96a26707-049f-42dc-88dd-fce9787ad627 | mode: OPEN | questions: E0,C0 | s0: false (44w) | profile: false | fears: false
2026-08-08T15:15:08.114369684Z [inf]  [Examiner POST] Independence score triggered for session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:08.150555979Z [inf]  [Examiner POST] Contradictions triggered for session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:08.415694709Z [inf]  [BiasScore] Scoring session 96a26707-049f-42dc-88dd-fce9787ad627 (identity: anonymous)
2026-08-08T15:15:08.701956568Z [inf]  [BiasScore] 0 user pushback message(s) for session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:08.995508895Z [inf]  [BiasScore] Scoring from decision_text only for session 96a26707-049f-42dc-88dd-fce9787ad627 — no examiner or pushback data yet
2026-08-08T15:15:09.155786848Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (4000 max tokens) [tiered]
2026-08-08T15:15:14.743945233Z [inf]  [Persona] Mistral-family prompt extension applied for risk_architect | session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:14.743947843Z [inf]  [Persona] Council context injected for risk_architect (initial) | session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:14.743950253Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:15:14.888874022Z [inf]  [Persona] Mistral-family prompt extension applied for competitor | session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:14.888877042Z [inf]  [Persona] Council context injected for competitor (initial) | session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:14.888879892Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:15:14.926004372Z [inf]  [Persona] Mistral-family prompt extension applied for stakeholder_mirror | session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:14.926009352Z [inf]  [Persona] Council context injected for stakeholder_mirror (initial) | session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:14.926012302Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:15:15.172366318Z [inf]  [Persona] Mistral-family prompt extension applied for pattern_analyst | session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:15.172372447Z [inf]  [Persona] Council context injected for pattern_analyst (initial) | session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:15.172376977Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:15:15.172381017Z [inf]  [Persona] Mistral-family prompt extension applied for elder | session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:15.172384577Z [inf]  [Persona] Council context injected for elder (initial) | session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:15.172389067Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:15:15.484719000Z [err]  [MistralLimiter] queue backed up: 4 call(s) waiting (0 elite) — Mistral account ceiling is 1.67 req/s / 100000 tokens/min. This is expected under real concurrent load; if it's persistent, the account plan likely needs a higher limit.
2026-08-08T15:15:15.756154396Z [inf]  [Persona] Mistral-family prompt extension applied for contrarian | session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:15.756157116Z [inf]  [Persona] Council context injected for contrarian (initial) | session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:15.756160116Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (2200 max tokens) [tiered]
2026-08-08T15:15:18.672303292Z [inf]  [BiasScore] Scored 15 parameters. Detected: overconfidence, attribution_asymmetry, exit_optionality_mispricing, recency_bias, loss_aversion_reversal, complexity_opacity
2026-08-08T15:15:22.742381413Z [inf]  [BiasScore] Upserted 6 bias rows
2026-08-08T15:15:22.742385873Z [inf]  [Examiner POST] Bias score triggered for session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:26.765406013Z [inf]  [Persona] Council weighting directive injected for synthesis | session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:27.583681137Z [inf]  [Persona] Mistral-family prompt extension applied for synthesis | session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:27.583684777Z [inf]  [Persona] Council context injected for synthesis (synthesis) | session 96a26707-049f-42dc-88dd-fce9787ad627
2026-08-08T15:15:27.583687797Z [inf]  [AIClient] createStream → mistral-cloud (mistral-small-latest) (3200 max tokens) [tiered]
2026-08-08T15:15:30.698679573Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (150 max tokens) [tiered]
2026-08-08T15:15:30.698683573Z [err]  [SynthesisAudit] session=96a26707-049f-42dc-88dd-fce9787ad627 missing mandatory tag(s): tension, action_plan | stop_reason=stop
2026-08-08T15:15:31.466866534Z [err]  [SynthesisAudit] session=96a26707-049f-42dc-88dd-fce9787ad627 tension backfilled successfully
2026-08-08T15:15:31.466869284Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (400 max tokens) [tiered]
2026-08-08T15:15:33.068591204Z [err]  [SynthesisAudit] session=96a26707-049f-42dc-88dd-fce9787ad627 action_plan backfilled successfully
2026-08-08T15:16:33.676515789Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (200 max tokens) [tiered]
2026-08-08T15:16:33.676519559Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (2000 max tokens) [tiered]
2026-08-08T15:16:35.125595964Z [inf]  [StructuralMatch] Ontology not complete for session 4216dbf3-474e-4660-a9bf-7898d3195468 — client should retry
2026-08-08T15:16:38.126847315Z [inf]  [Ontology] Session 4216dbf3-474e-4660-a9bf-7898d3195468 | type: allocation | mode: OPEN | rules: none | flags: none | identity: 2 | regret: 3 | upstream: 1
2026-08-08T15:16:40.682762682Z [inf]  [StructuralMatch] Scoring session 4216dbf3-474e-4660-a9bf-7898d3195468 against 50 past sessions
2026-08-08T15:16:41.611073822Z [inf]  [StructuralMatch] Wrote 20 rows to structural_scores
2026-08-08T15:16:41.918828414Z [inf]  [StructuralMatch] Wrote 20 rows to structural_scores
2026-08-08T15:16:42.160630167Z [inf]  [StructuralMatch] Wrote 10 rows to structural_scores
2026-08-08T15:16:42.160638856Z [inf]  [StructuralMatch] Wrote 47 graph edge(s)
2026-08-08T15:16:42.160643486Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (200 max tokens) [tiered]
2026-08-08T15:16:42.160647566Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (200 max tokens) [tiered]
2026-08-08T15:16:43.250437792Z [inf]  [ExaminerMetric] session=4216dbf3-474e-4660-a9bf-7898d3195468 mode=OPEN
2026-08-08T15:16:43.250441731Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (80 max tokens) [tiered]
2026-08-08T15:16:43.250445771Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (80 max tokens) [tiered]
2026-08-08T15:16:44.296799512Z [inf]  [StructuralMatch] Scoring session 4216dbf3-474e-4660-a9bf-7898d3195468 against 50 past sessions
2026-08-08T15:16:44.698325989Z [inf]  [StructuralMatch] Done — 2 matches, threshold_met: true, sessions_scored: 50
2026-08-08T15:16:44.871489887Z [inf]  [Examiner GET] SB-2 v2.0 | session 4216dbf3-474e-4660-a9bf-7898d3195468 | mode: OPEN | questions: E0,C0 | s0: false (44w) | profile: false | fears: false
2026-08-08T15:16:45.206420445Z [inf]  [StructuralMatch] Wrote 20 rows to structural_scores
2026-08-08T15:16:45.470590304Z [inf]  [StructuralMatch] Wrote 20 rows to structural_scores
2026-08-08T15:16:45.755165293Z [inf]  [StructuralMatch] Wrote 10 rows to structural_scores
2026-08-08T15:16:45.755169273Z [inf]  [StructuralMatch] Wrote 47 graph edge(s)
2026-08-08T15:16:45.755174483Z [inf]  [AIClient] createCompletion → anthropic-elite (claude-sonnet-4-6) (200 max tokens) [tiered]
2026-08-08T15:16:45.755178183Z [inf]  [AIClient] createCompletion → anthropic-elite (claude-sonnet-4-6) (200 max tokens) [tiered]
2026-08-08T15:16:50.343362612Z [inf]  [StructuralMatch] Done — 2 matches, threshold_met: true, sessions_scored: 50
2026-08-08T15:16:53.408962111Z [inf]  [AIClient] createCompletion → anthropic-elite (claude-sonnet-4-6) (600 max tokens) [tiered]
2026-08-08T15:17:13.391447544Z [inf]  [BiasScore] Scoring session 4216dbf3-474e-4660-a9bf-7898d3195468 (identity: user_id)
2026-08-08T15:17:13.391452374Z [inf]  [BiasScore] 0 user pushback message(s) for session 4216dbf3-474e-4660-a9bf-7898d3195468
2026-08-08T15:17:13.391455734Z [inf]  [BiasScore] Scoring from decision_text only for session 4216dbf3-474e-4660-a9bf-7898d3195468 — no examiner or pushback data yet
2026-08-08T15:17:13.391458484Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (4000 max tokens) [tiered]
2026-08-08T15:17:13.391463504Z [inf]  [DecisionContinuity] Auto-trigger: inferred match score 96 | session 4216dbf3-474e-4660-a9bf-7898d3195468 → 8dcacf68-f2c2-495b-8ca6-d3024e214e2a
2026-08-08T15:17:13.391466944Z [inf]  [AIClient] createCompletion → mistral-cloud (mistral-small-latest) (1200 max tokens) [tiered]
2026-08-08T15:17:13.391469714Z [inf]  [DecisionContinuity] Auto-trigger: inferred match score 96 | session 4216dbf3-474e-4660-a9bf-7898d3195468 → 8dcacf68-f2c2-495b-8ca6-d3024e214e2a
2026-08-08T15:17:13.391472884Z [inf]  [DecisionContinuity] Auto-trigger: inferred match score 96 | session 4216dbf3-474e-4660-a9bf-7898d3195468 → 8dcacf68-f2c2-495b-8ca6-d3024e214e2a
2026-08-08T15:17:13.391476144Z [inf]  [DecisionContinuity] Auto-trigger: inferred match score 96 | session 4216dbf3-474e-4660-a9bf-7898d3195468 → 8dcacf68-f2c2-495b-8ca6-d3024e214e2a
2026-08-08T15:17:13.391478754Z [inf]  [DecisionContinuity] Auto-trigger: inferred match score 96 | session 4216dbf3-474e-4660-a9bf-7898d3195468 → 8dcacf68-f2c2-495b-8ca6-d3024e214e2a
2026-08-08T15:17:13.391481304Z [inf]  [DecisionContinuity] Auto-trigger: inferred match score 96 | session 4216dbf3-474e-4660-a9bf-7898d3195468 → 8dcacf68-f2c2-495b-8ca6-d3024e214e2a
2026-08-08T15:17:13.391484124Z [inf]  [IndependenceScore] c36a3fb1: no responses — excluded
2026-08-08T15:17:13.391487004Z [inf]  [IndependenceScore] 4f017069: no responses — excluded
2026-08-08T15:17:13.392231651Z [inf]  [IndependenceScore] c9a9716d: no responses — excluded
2026-08-08T15:17:13.392234821Z [inf]  [IndependenceScore] 091ba2d3: no responses — excluded
2026-08-08T15:17:13.392237581Z [inf]  [IndependenceScore] 249c2526: no responses — excluded
2026-08-08T15:17:13.392240331Z [inf]  [IndependenceScore] 552fe533: no responses — excluded
2026-08-08T15:17:13.392243301Z [inf]  [IndependenceScore] 69d48806 Q2: raw=5/35 norm=14 words=13 fired=[answered_not_skipped]
2026-08-08T15:17:13.392246471Z [inf]  [IndependenceScore] 69d48806 Q3: raw=0/35 norm=0 words=2 fired=[none]
2026-08-08T15:17:13.392249151Z [inf]  [IndependenceScore] 69d48806 Q1: raw=5/35 norm=14 words=27 fired=[answered_not_skipped]
2026-08-08T15:17:13.392252151Z [inf]  [IndependenceScore] 69d48806: session_score=19 (avg=9 bonus=10)
2026-08-08T15:17:13.392255101Z [inf]  [IndependenceScore] fcb26018 Q2: raw=5/35 norm=14 words=20 fired=[answered_not_skipped]
2026-08-08T15:17:13.392257621Z [inf]  [IndependenceScore] fcb26018 Q1: raw=5/35 norm=14 words=7 fired=[answered_not_skipped]
2026-08-08T15:17:13.392260181Z [inf]  [IndependenceScore] fcb26018 Q3: raw=15/35 norm=43 words=17 fired=[stakeholder_surfacing, answered_not_skipped]
2026-08-08T15:17:13.392262661Z [inf]  [IndependenceScore] fcb26018: session_score=34 (avg=24 bonus=10)
2026-08-08T15:17:13.392271001Z [inf]  [IndependenceScore] 6641b33a: no responses — excluded
2026-08-08T15:17:13.392273651Z [inf]  [IndependenceScore] 7b61b38f Q1: raw=5/35 norm=14 words=19 fired=[answered_not_skipped]
2026-08-08T15:17:13.392276421Z [inf]  [IndependenceScore] 7b61b38f Q3: raw=5/35 norm=14 words=3 fired=[answered_not_skipped]
2026-08-08T15:17:13.392278971Z [inf]  [IndependenceScore] 7b61b38f Q2: raw=5/35 norm=14 words=6 fired=[answered_not_skipped]
2026-08-08T15:17:13.392281341Z [inf]  [IndependenceScore] 7b61b38f: session_score=24 (avg=14 bonus=10)
2026-08-08T15:17:13.392284051Z [inf]  [IndependenceScore] 97239870 Q1: raw=5/35 norm=14 words=4 fired=[answered_not_skipped]
2026-08-08T15:17:13.392581036Z [inf]  [IndependenceScore] 97239870 Q3: raw=5/35 norm=14 words=10 fired=[answered_not_skipped]
2026-08-08T15:17:13.392583966Z [inf]  [IndependenceScore] 97239870 Q2: raw=0/35 norm=0 words=4 fired=[none]
2026-08-08T15:17:13.392586515Z [inf]  [IndependenceScore] 97239870: session_score=19 (avg=9 bonus=10)
2026-08-08T15:17:13.392589055Z [inf]  [IndependenceScore] 9c481f68: no responses — excluded
2026-08-08T15:17:13.392592585Z [inf]  [IndependenceScore] a3fdc429 Q1: raw=5/35 norm=14 words=46 fired=[answered_not_skipped]
2026-08-08T15:17:13.392595095Z [inf]  [IndependenceScore] a3fdc429 Q2: raw=10/35 norm=29 words=62 fired=[response_depth, answered_not_skipped]
2026-08-08T15:17:13.392597695Z [inf]  [IndependenceScore] a3fdc429 Q3: raw=10/35 norm=29 words=71 fired=[response_depth, answered_not_skipped]
2026-08-08T15:17:13.392600365Z [inf]  [IndependenceScore] a3fdc429: session_score=34 (avg=24 bonus=10)
2026-08-08T15:17:13.392602905Z [inf]  [IndependenceScore] 84676428 Q1: raw=0/35 norm=0 words=2 fired=[none]
2026-08-08T15:17:13.392605595Z [inf]  [IndependenceScore] 84676428 Q2: raw=5/35 norm=14 words=7 fired=[answered_not_skipped]
2026-08-08T15:17:13.392607985Z [inf]  [IndependenceScore] 84676428 Q3: raw=5/35 norm=14 words=6 fired=[answered_not_skipped]
2026-08-08T15:17:13.392611205Z [inf]  [IndependenceScore] 84676428: session_score=19 (avg=9 bonus=10)
2026-08-08T15:17:13.392613715Z [inf]  [IndependenceScore] 5a4e8523: no responses — excluded
2026-08-08T15:17:13.392616545Z [inf]  [IndependenceScore] 08175f4f Q1: raw=5/35 norm=14 words=14 fired=[answered_not_skipped]
2026-08-08T15:17:13.392619015Z [inf]  [IndependenceScore] 08175f4f Q2: raw=5/35 norm=14 words=7 fired=[answered_not_skipped]
2026-08-08T15:17:13.392621585Z [inf]  [IndependenceScore] 08175f4f Q3: raw=5/35 norm=14 words=33 fired=[answered_not_skipped]
2026-08-08T15:17:13.392624655Z [inf]  [IndependenceScore] 08175f4f: session_score=24 (avg=14 bonus=10)
2026-08-08T15:17:13.393047128Z [inf]  [IndependenceScore] 60845cd3: no responses — excluded
2026-08-08T15:17:13.393053318Z [inf]  [IndependenceScore] 35c5d74d: no responses — excluded
2026-08-08T15:17:13.393054718Z [inf]  [IndependenceScore] ddb67e0c: no responses — excluded
2026-08-08T15:17:13.393056648Z [inf]  [IndependenceScore] d6cc6b19: no responses — excluded
2026-08-08T15:17:13.393060378Z [inf]  [IndependenceScore] 37c31e65: no responses — excluded
2026-08-08T15:17:13.393061878Z [inf]  [IndependenceScore] a6d98f4e Q2: raw=5/35 norm=14 words=9 fired=[answered_not_skipped]
2026-08-08T15:17:13.393064058Z [inf]  [IndependenceScore] 79ffa37d: no responses — excluded
2026-08-08T15:17:13.393067267Z [inf]  [IndependenceScore] a6d98f4e Q3: raw=0/35 norm=0 words=1 fired=[none]
2026-08-08T15:17:13.393067967Z [inf]  [IndependenceScore] 2d0853dd: no responses — excluded
2026-08-08T15:17:13.393072637Z [inf]  [IndependenceScore] a6d98f4e Q1: raw=5/35 norm=14 words=11 fired=[answered_not_skipped]
2026-08-08T15:17:13.393077827Z [inf]  [IndependenceScore] a6d98f4e: session_score=19 (avg=9 bonus=10)
2026-08-08T15:17:13.393082597Z [inf]  [IndependenceScore] 2ad46e9c: no responses — excluded
2026-08-08T15:17:13.393088277Z [inf]  [IndependenceScore] d61d03fb: no responses — excluded
2026-08-08T15:17:13.393093647Z [inf]  [IndependenceScore] f727d6ca: no responses — excluded
2026-08-08T15:17:13.393098697Z [inf]  [IndependenceScore] 9fa83a63: no responses — excluded
2026-08-08T15:17:13.393105047Z [inf]  [IndependenceScore] 9c13b318: no responses — excluded
2026-08-08T15:17:13.393109257Z [inf]  [IndependenceScore] eb0429f3: no responses — excluded
2026-08-08T15:17:13.393113167Z [inf]  [IndependenceScore] 05cb3b19: no responses — excluded
2026-08-08T15:17:13.393116817Z [inf]  [IndependenceScore] def1f0ef: no responses — excluded
2026-08-08T15:17:13.393120487Z [inf]  [IndependenceScore] b344f231: no responses — excluded
2026-08-08T15:17:13.393498930Z [inf]  [IndependenceScore] fb165a66: no responses — excluded
2026-08-08T15:17:13.393503890Z [inf]  [IndependenceScore] 6eb53af4: no responses — excluded
2026-08-08T15:17:13.393507640Z [inf]  [IndependenceScore] 8c588415: no responses — excluded
2026-08-08T15:17:13.393511590Z [inf]  [IndependenceScore] 5cbf09c6: no responses — excluded
2026-08-08T15:17:13.393515740Z [inf]  [IndependenceScore] 16dfc335: no responses — excluded
2026-08-08T15:17:13.393520090Z [inf]  [IndependenceScore] 939e2fc8: no responses — excluded
2026-08-08T15:17:13.393523830Z [inf]  [IndependenceScore] f9822012: no responses — excluded
2026-08-08T15:17:13.393527240Z [inf]  [IndependenceScore] 0b1e07d4: no responses — excluded
2026-08-08T15:17:13.393531430Z [inf]  [IndependenceScore] 49544b6d: no responses — excluded
2026-08-08T15:17:13.393535740Z [inf]  [IndependenceScore] c36dc616: no responses — excluded
2026-08-08T15:17:13.393540870Z [inf]  [IndependenceScore] 3889ea26 Q2: raw=5/35 norm=14 words=15 fired=[answered_not_skipped]
2026-08-08T15:17:13.393544529Z [inf]  [IndependenceScore] 3889ea26 Q3: raw=15/35 norm=43 words=19 fired=[stakeholder_surfacing, answered_not_skipped]
2026-08-08T15:17:13.393548359Z [inf]  [IndependenceScore] 3889ea26 Q1: raw=15/35 norm=43 words=26 fired=[stakeholder_surfacing, answered_not_skipped]
2026-08-08T15:17:13.393551649Z [inf]  [IndependenceScore] 3889ea26: session_score=43 (avg=33 bonus=10)
2026-08-08T15:17:13.393555139Z [inf]  [IndependenceScore] f0248a44: no responses — excluded
2026-08-08T15:17:13.393558599Z [inf]  [IndependenceScore] 7b1cf8a0: no responses — excluded
2026-08-08T15:17:13.393561899Z [inf]  [IndependenceScore] 7333fcd2 Q2: raw=5/35 norm=14 words=19 fired=[answered_not_skipped]
2026-08-08T15:17:13.393565659Z [inf]  [IndependenceScore] 7333fcd2 Q3: raw=5/35 norm=14 words=11 fired=[answered_not_skipped]
2026-08-08T15:17:13.393569469Z [inf]  [IndependenceScore] 7333fcd2 Q1: raw=5/35 norm=14 words=15 fired=[answered_not_skipped]
2026-08-08T15:17:13.393838655Z [inf]  [IndependenceScore] 7333fcd2: session_score=24 (avg=14 bonus=10)
2026-08-08T15:17:13.393844434Z [inf]  [IndependenceScore] cb91bfb8: no responses — excluded
2026-08-08T15:17:13.393848284Z [inf]  [IndependenceScore] e3a0eacc: no responses — excluded
2026-08-08T15:17:13.393848534Z [inf]  [IndependenceScore] bf0bb779 Q1: raw=0/35 norm=0 words=2 fired=[none]
2026-08-08T15:17:13.393856654Z [inf]  [IndependenceScore] e728cf99: no responses — excluded
2026-08-08T15:17:13.393857024Z [inf]  [IndependenceScore] bf0bb779 Q3: raw=5/35 norm=14 words=9 fired=[answered_not_skipped]
2026-08-08T15:17:13.393865524Z [inf]  [IndependenceScore] 7e7a6477: no responses — excluded
2026-08-08T15:17:13.393865804Z [inf]  [IndependenceScore] bf0bb779 Q2: raw=5/35 norm=14 words=8 fired=[answered_not_skipped]
2026-08-08T15:17:13.393873104Z [inf]  [IndependenceScore] 6f5b4e82: no responses — excluded
2026-08-08T15:17:13.393875724Z [inf]  [IndependenceScore] bf0bb779: session_score=19 (avg=9 bonus=10)
2026-08-08T15:17:13.393883774Z [inf]  [IndependenceScore] 63e2df5a: no responses — excluded
2026-08-08T15:17:13.393884154Z [inf]  [IndependenceScore] 859418ad: no responses — excluded
2026-08-08T15:17:13.393893284Z [inf]  [IndependenceScore] 88b303f1: no responses — excluded
2026-08-08T15:17:13.393893594Z [inf]  [IndependenceScore] 8027149a: no responses — excluded
2026-08-08T15:17:13.393901714Z [inf]  [IndependenceScore] 344016b7 Q2: raw=5/35 norm=14 words=15 fired=[answered_not_skipped]
2026-08-08T15:17:13.393902014Z [inf]  [IndependenceScore] d6b35e0f: no responses — excluded
2026-08-08T15:17:13.393907653Z [inf]  [IndependenceScore] 344016b7 Q1: raw=5/35 norm=14 words=38 fired=[answered_not_skipped]
2026-08-08T15:17:13.393910573Z [inf]  [IndependenceScore] 344016b7 Q3: raw=5/35 norm=14 words=37 fired=[answered_not_skipped]
2026-08-08T15:17:13.393913953Z [inf]  [IndependenceScore] 344016b7: session_score=24 (avg=14 bonus=10)
2026-08-08T15:17:13.394225168Z [inf]  [IndependenceScore] af5edb36 Q2: raw=0/35 norm=0 words=2 fired=[none]
2026-08-08T15:17:13.394229378Z [inf]  [IndependenceScore] af5edb36: session_score=7 (avg=7 bonus=0)
2026-08-08T15:17:13.394234488Z [inf]  [IndependenceScore] 7816efad: no responses — excluded
2026-08-08T15:17:13.394238398Z [inf]  [IndependenceScore] 896791f0: no responses — excluded
2026-08-08T15:17:13.394240898Z [inf]  [IndependenceScore] 70c8b996: no responses — excluded
2026-08-08T15:17:13.394243658Z [inf]  [IndependenceScore] 35395955: no responses — excluded
